,Films,Year,Oscars,Nominations
3016,Soldiers in Hiding,1986,0,1
3017,Soldiers of the Sky,1942,0,1
3018,Solly's Diner,1980,0,1
3019,Solo,1973,0,1
3020,Solo: A Star Wars Story,2019,0,1
3021,Solomon and Gaenor,2000,0,1
3022,Some Came Running,1959,0,5
3023,Some Like It Hot,1960,1,6
3024,Somebody Up There Likes Me,1957,2,3
3025,Somebody Waiting,1972,0,1
3026,Something to Shout About,1944,0,2
3027,Something to Sing About,1938,0,1
3028,Something's Gotta Give,2004,0,1
3029,Sometimes a Great Notion,1972,0,2
3030,Somewhere in Time,1981,0,1
3031,Son of Paleface,1953,0,1
3032,Son of Saul,2016,1,1
3033,Son of the Bride,2002,0,1
3034,Song of the Flame,1931,0,1
3035,Song of the Open Road,1945,0,2
3036,Song of the Sea,2015,0,1
3037,Song of the South,1948,1,2
3038,Song without End (The Story of Franz Liszt),1961,1,1
3039,Songwriter,1985,0,1
3040,Sons and Lovers,1961,1,7
3041,Sons of Liberty,1940,1,1
3042,Sophie Scholl - The Final Days,2006,0,1
3043,Sophie's Choice,1983,1,5
3044,Sorcerer,1978,0,1
3045,Sorrell and Son,1929,0,1
3046,"Sorry, Wrong Number",1949,0,1
3047,Souls at Sea,1938,0,3
3048,Sound and Fury,2001,0,1
3049,Sound of Sunshine - Sound of Rain,1984,0,1
3050,Sounder,1973,0,4
3051,South Pacific,1959,1,3
3052,"South Park: Bigger, Longer & Uncut",2000,0,1
3053,Space Cowboys,2001,0,1
3054,Spaceborne,1978,0,1
3055,Spaces: The Architecture of Paul Rudolph,1984,0,1
3056,Spartacus,1961,4,6
3057,Speaking in Strings,2000,0,1
3058,Speaking of Animals and Their Families,1943,1,1
3059,Special Delivery,1979,1,1
3060,Special Effects,1997,0,1
3061,Spectre,2016,1,1
3062,Speed,1995,2,3
3063,Speed for Thespians,2002,0,1
3064,Speedy,1929,0,1
3065,Speedy Gonzales,1956,1,1
3066,Spellbound,1946,1,6
3067,Spellbound,2003,0,1
3068,Spider-Man,2003,0,2
3069,Spider-Man 2,2005,1,3
3070,Spider-Man: Into the Spider-Verse,2019,1,1
3071,Spielzeugland (Toyland),2009,1,1
3072,Spills and Chills,1950,0,1
3073,Spirit: Stallion of the Cimarron,2003,0,1
3074,Spirited Away,2003,1,1
3075,Splash,1985,0,1
3076,Splendor in the Grass,1962,1,2
3077,Split Cherry Tree,1983,0,1
3078,Spotlight,2016,2,6
3079,Spring Parade,1941,0,4
3080,Squash,2004,0,1
3081,Squatter's Rights,1947,0,1
3082,Squires of San Quentin,1979,0,1
3083,Sredni Vashtar,1983,0,1
3084,Stage Door,1938,0,4
3085,Stage Door Canteen,1944,0,2
3086,Stagecoach,1940,2,7
3087,Stagecoach to Fury,1957,0,1
3088,Stairway to Light,1946,1,1
3089,Stalag 17,1954,1,3
3090,Stand By for Action,1944,0,1
3091,Stand Up For Something,2018,0,1
3092,Stand and Deliver,1989,0,1
3093,Stand by Me,1987,0,1
3094,Star Spangled Rhythm,1944,0,2
3095,Star Trek,2010,1,4
3096,Star Trek - The Motion Picture,1980,0,3
3097,Star Trek Beyond,2017,0,1
3098,Star Trek IV: The Voyage Home,1987,0,4
3099,Star Trek Into Darkness,2014,0,1
3100,Star Trek VI The Undiscovered Country,1992,0,2
3101,Star Trek: First Contact,1997,0,1
3102,Star Wars,1978,6,10
3103,Star Wars Episode I: The Phantom Menace,2000,0,3
3104,Star Wars Episode II Attack of the Clones,2003,0,1
3105,Star Wars: Episode III Revenge of the Sith,2006,0,1
3106,Star Wars: The Force Awakens,2016,0,5
3107,Star Wars: The Last Jedi,2018,0,4
3108,Star in the Night,1946,1,1
3109,Star!,1969,0,7
3110,Starman,1985,0,1
3111,Starship Troopers,1998,0,1
3112,Starting Over,1980,0,2
3113,State Fair,1934,0,2
3114,State Fair,1946,1,2
3115,Steel Magnolias,1990,0,1
3116,Stella Dallas,1938,0,2
3117,Step Lively,1945,0,1
3118,Steve Jobs,2016,0,2
3119,Sticky My Fingers...Fleet My Feet,1971,0,1
3120,Still Alice,2015,1,1
3121,Still Kicking: The Fabulous Palm Springs Follies,1998,0,1
3122,Stolen Kisses,1969,0,1
3123,Stop the World--I Want to Get Off,1967,0,1
3124,"Stop, Look and Listen",1968,0,1
3125,Storm over Bengal,1939,0,1
3126,Story of a Dog,1946,0,1
3127,Straight Outta Compton,2016,0,1
3128,Straight from the Heart,1995,0,1
3129,Strange Fruit,1979,0,1
3130,Strange Invaders,2002,0,1
3131,Strangers No More,2011,1,1
3132,Strangers on a Train,1952,0,1
3133,Strategic Air Command,1956,0,1
3134,Straw Dogs,1972,0,1
3135,Strawberry and Chocolate,1995,0,1
3136,Street Angel,1929,0,1
3137,Street Angel,1930,0,2
3138,Street Fight,2006,0,1
3139,Street Smart,1988,0,1
3140,Street of Chance,1931,0,1
3141,Streetwise,1985,0,1
3142,Strike Up the Band,1941,1,3
3143,Strikes and Spares,1935,0,1
3144,Strings,1992,0,1
3145,Strong Island,2018,0,1
3146,Stuart Little,2000,0,1
3147,Stubble Trouble,2002,0,1
3148,Stutterer,2016,1,1
3149,Sudden Fear,1953,0,4
3150,"Suddenly, Last Summer",1960,0,3
3151,Suez,1939,0,3
3152,Suicide Squad,2017,1,1
3153,Sully,2017,0,1
3154,Summer Storm,1945,0,1
3155,"Summer Wishes, Winter Dreams",1974,0,2
3156,Summer and Smoke,1962,0,4
3157,Summer of '42,1972,1,4
3158,Summertime,1956,0,2
3159,Sun Come Up,2011,0,1
3160,Sun Valley Serenade,1942,0,3
3161,Sunbonnet Sue,1946,0,1
3162,Sundae in New York,1984,1,1
3163,Sunday Bloody Sunday,1972,0,4
3164,Sundays and Cybele,1963,1,1
3165,Sundays and Cybele,1964,0,2
3166,Sundown,1942,0,3
3167,Sunflower,1971,0,1
3168,Sunny,1942,0,1
3169,Sunrise,1929,2,5
3170,Sunrise at Campobello,1961,0,4
3171,Sunrise over Tiananmen Square,1999,0,1
3172,Sunset,1989,0,1
3173,Sunset Blvd.,1951,3,11
3174,Super Chief: The Life and Legacy of Earl Warren,1990,0,1
3175,Super Size Me,2005,0,1
3176,Superman,1942,0,1
3177,Superman,1979,0,3
3178,Superman Returns,2007,0,1
3179,Sure Cures,1947,0,1
3180,Surf's Up,2008,0,1
3181,Survival City,1956,1,1
3182,Susan Slept Here,1955,0,2
3183,Suspicion,1942,1,3
3184,Suzanne Farrell: Elusive Muse,1997,0,1
3185,Suzy,1937,0,1
3186,Svengali,1932,0,2
3187,Swan Song,1993,0,1
3188,Swanee River,1940,0,1
3189,Swedes in America,1944,0,1
3190,Sweeney Todd The Demon Barber of Fleet Street,2008,1,3
3191,Sweet Bird of Youth,1963,1,3
3192,Sweet Charity,1970,0,3
3193,Sweet Dreams,1986,0,1
3194,Sweet and Lowdown,1945,0,1
3195,Sweet and Lowdown,2000,0,2
3196,Sweethearts,1939,0,2
3197,Sweethearts?,1998,0,1
3198,Swing High,1933,0,1
3199,Swing Shift,1985,0,1
3200,Swing Time,1937,1,2
3201,Swingtime in the Movies,1939,0,1
3202,Swiss Family Robinson,1941,0,1
3203,Switzerland,1956,0,1
3204,Swooner Crooner,1945,0,1
3205,Sword Fishing,1940,0,1
3206,Symphony of a City,1949,1,1
3207,Symposium on Popular Songs,1963,0,1
3208,Syriana,2006,1,2
3209,Syrup,1995,0,1
3210,T Is for Tumbleweed,1959,0,1
3211,T-Men,1948,0,1
3212,Tabasco Road,1958,0,1
3213,Tabu,1932,1,1
3214,"Take a Letter, Darling",1943,0,3
3215,Take the High Ground,1954,0,1
3216,Tales of Hoffmann,1952,0,2
3217,Tales of Meeting and Parting,1985,0,1
3218,Talk to Her,2003,1,2
3219,"Tall, Dark and Handsome",1942,0,1
3220,Tammy and the Bachelor,1958,0,1
3221,Tangerines,2015,0,1
3222,Tanghi Argentini,2008,0,1
3223,Tangled,2011,0,1
3224,Tango,1983,1,1
3225,Tango,1999,0,1
3226,Tanks a Million,1942,0,1
3227,Tanna,2017,0,1
3228,Taras Bulba,1963,0,1
3229,Tarzan,2000,1,1
3230,Taxi Driver,1977,0,4
3231,Taxi to the Dark Side,2008,1,1
3232,Tchaikovsky,1972,0,2
3233,Tea for Two Hundred,1949,0,1
3234,Teacher's Pet,1959,0,2
3235,Technological Threat,1989,0,1
3236,Ted,2013,0,1
3237,"Teddy, the Rough Rider",1941,1,1
3238,Teenage Father,1979,1,1
3239,Teenage Rebel,1957,0,2
3240,Tell the Truth and Run: George Seldes and the American Press,1997,0,1
3241,Tempest,1929,0,1
3242,Ten Gentlemen from West Point,1943,0,1
3243,Tender Is the Night,1963,0,1
3244,Tender Mercies,1984,2,5
3245,Tequila Sunrise,1989,0,1
3246,Teresa,1952,0,1
3247,Terminator 2: Judgment Day,1992,4,6
3248,Terms of Endearment,1984,5,11
3249,Tess,1981,3,6
3250,Test Pilot,1939,0,3
3251,Testament,1984,0,1
3252,Thank God It's Friday,1979,1,1
3253,Thank Your Lucky Stars,1944,0,1
3254,Thanks a Million,1936,0,1
3255,Thar She Blows!,1953,0,1
3256,That Certain Age,1939,0,2
3257,That Forsyte Woman,1951,0,1
3258,That Girl from Paris,1937,0,1
3259,That Hamilton Woman,1942,1,4
3260,That Lady in Ermine,1949,0,1
3261,That Man from Rio,1965,0,1
3262,That Mothers Might Live,1939,1,1
3263,That Obscure Object of Desire,1978,0,2
3264,That Thing You Do!,1997,0,1
3265,That Touch of Mink,1963,0,3
3266,That Uncertain Feeling,1942,0,1
3267,That's Life,1987,0,1
3268,That's Me,1964,0,1
3269,The 100-Year-Old Man Who Climbed out the Window and Disappeared,2016,0,1
3270,The 400 Blows,1960,0,1
3271,"The 5,000 Fingers of Dr. T",1954,0,1
3272,The 500 Hats of Bartholomew Cubbins,1944,0,1
3273,The 81st Blow,1975,0,1
3274,The Absent Minded Professor,1962,0,3
3275,The Absent-Minded Waiter,1978,0,1
3276,The Abyss,1990,1,4
3277,The Accidental Tourist,1989,1,4
3278,The Accused,1989,1,1
3279,The Act of Killing,2014,0,1
3280,The Actress,1954,0,1
3281,The Addams Family,1992,0,1
3282,The Adventures of Baron Munchausen,1990,0,4
3283,The Adventures of Don Juan,1950,1,2
3284,The Adventures of Mark Twain,1945,0,3
3285,"The Adventures of Priscilla, Queen of the Desert",1995,1,1
3286,The Adventures of Robin Hood,1939,3,4
3287,The Adventures of Tintin,2012,0,1
3288,The Adventures of Tom Sawyer,1939,0,1
3289,The Affair of the Necklace,2002,0,1
3290,The Affairs of Cellini,1935,0,4
3291,The Affairs of Susan,1946,0,1
3292,The African Queen,1952,1,4
3293,The Age of Innocence,1994,1,5
3294,The Agony and the Ecstasy,1966,0,5
3295,The Alamo,1961,1,7
3296,The Alaskan Eskimo,1954,1,1
3297,The Amazing Mrs. Holliday,1944,0,1
3298,The American President,1996,0,1
3299,The Americanization of Emily,1965,0,2
3300,The Amityville Horror,1980,0,1
3301,The Anderson Platoon,1968,1,1
3302,The Andromeda Strain,1972,0,2
3303,The Angry Silence,1961,0,1
3304,The Apartment,1961,5,10
3305,The Apostle,1998,0,1
3306,The Appointments of Dennis Jennings,1989,1,1
3307,The Apprenticeship of Duddy Kravitz,1975,0,1
3308,The Artist,2012,5,10
3309,The Asphalt Jungle,1951,0,4
3310,The Assassination of Jesse James by the Coward Robert Ford,2008,0,2
3311,The Assault,1987,1,1
3312,The Atomic City,1953,0,1
3313,The Aviator,2005,5,11
3314,The Awakening,1930,0,1
3315,The Awful Truth,1938,1,6
3316,The Baader Meinhof Complex,2009,0,1
3317,The Baby Maker,1971,0,1
3318,The Bachelor Party,1958,0,1
3319,The Bachelor and the Bobby-Soxer,1948,1,1
3320,The Bad Seed,1957,0,4
3321,The Bad and the Beautiful,1953,5,6
3322,The Balcony,1964,0,1
3323,The Ballad of Buster Scruggs,2019,0,2
3324,The Band Wagon,1954,0,3
3325,The Barbarian Invasions,2004,1,2
3326,The Barber of Birmingham: Foot Soldier of the Civil Rights Movement,2012,0,1
3327,The Barefoot Contessa,1955,1,2
3328,The Barker,1930,0,1
3329,The Barkleys of Broadway,1950,0,1
3330,The Barretts of Wimpole Street,1935,0,2
3331,The Battle of Algiers,1967,0,1
3332,The Battle of Algiers,1969,0,2
3333,The Battle of Gettysburg,1956,0,2
3334,The Battle of Midway,1943,1,1
3335,The Battle of Neretva,1970,0,1
3336,The Battle of Russia,1944,0,1
3337,The Battle of the Bulge...The Brave Rifles,1966,0,1
3338,The Battle over Citizen Kane,1996,0,1
3339,The Bead Game,1978,0,1
3340,The Bear,1990,0,1
3341,The Bells of St. Mary's,1946,1,8
3342,The Bespoke Overcoat,1957,1,1
3343,The Best Little Whorehouse in Texas,1983,0,1
3344,The Best Man,1965,0,1
3345,The Best Things in Life Are Free,1957,0,1
3346,The Best Years of Our Lives,1947,7,8
3347,The Best of Everything,1960,0,2
3348,The Betrayal (Nerakhoon),2009,0,1
3349,The Bible,1967,0,1
3350,The Bicycle Thief,1950,0,1
3351,The Big Broadcast of 1938,1939,1,1
3352,The Big Carnival,1952,0,1
3353,The Big Chill,1984,0,3
3354,The Big Country,1959,1,2
3355,The Big Fisherman,1960,0,3
3356,The Big House,1931,2,4
3357,The Big Pond,1931,0,1
3358,The Big Short,2016,1,5
3359,The Big Sick,2018,0,1
3360,The Big Sky,1953,0,2
3361,The Big Snit,1986,0,1
3362,The Big Story,1995,0,1
3363,The Bigger Picture,2015,0,1
3364,The Birdcage,1997,0,1
3365,The Birds,1964,0,1
3366,The Bishop's Wife,1948,1,5
3367,The Black Dahlia,2007,0,1
3368,The Black Hole,1980,0,2
3369,The Black Rose,1951,0,1
3370,The Black Stallion,1980,0,2
3371,The Black Swan,1943,1,3
3372,The Blind Side,2010,1,2
3373,The Blood of Yingzhou District,2007,1,1
3374,The Blue Bird,1941,0,2
3375,The Blue Dahlia,1947,0,1
3376,The Blue Lagoon,1981,0,1
3377,The Blue Veil,1952,0,2
3378,The Boat Is Full,1982,0,1
3379,The Bodyguard,1993,0,2
3380,The Bold and the Brave,1957,0,2
3381,The Bolero,1974,1,1
3382,The Bolshoi Ballet,1959,0,1
3383,The Book Thief,2014,0,1
3384,The Boss Baby,2018,0,1
3385,The Bostonians,1985,0,2
3386,The Bourne Ultimatum,2008,3,3
3387,The Box,1968,1,1
3388,The Boxtrolls,2015,0,1
3389,The Boy Friend,1972,0,1
3390,The Boy and the Eagle,1950,0,1
3391,The Boys from Brazil,1979,0,3
3392,The Boys from Syracuse,1941,0,2
3393,The Boys of Paul Street,1969,0,1
3394,The Brave One,1957,1,3
3395,The Breadwinner,2018,0,1
3396,The Bridge,1960,0,1
3397,The Bridge of San Luis Rey,1930,1,1
3398,The Bridge of San Luis Rey,1945,0,1
3399,The Bridge on the River Kwai,1958,7,8
3400,The Bridges at Toko-Ri,1956,1,2
3401,The Bridges of Madison County,1996,0,1
3402,The Brink's Job,1979,0,1
3403,The Broadcast Tapes of Dr. Peter,1994,0,1
3404,The Broadway Melody,1930,1,3
3405,The Broken Circle Breakdown,2014,0,1
3406,The Brothers Karamazov,1959,0,1
3407,The Brothers Karamazov,1970,0,1
3408,The Buccaneer,1939,0,1
3409,The Buccaneer,1959,0,1
3410,The Buddy Holly Story,1979,1,3
3411,The Caddy,1954,0,1
3412,The Cadillac,1963,0,1
3413,The Caine Mutiny,1955,0,7
3414,The Calico Dragon,1936,0,1
3415,The California Reich,1976,0,1
3416,The Candidate,1973,1,2
3417,The Canterbury Tales,1999,0,1
3418,The Captain of Kopenick,1957,0,1
3419,The Captain's Paradise,1954,0,1
3420,The Cardinal,1964,0,6
3421,The Caretakers,1964,0,1
3422,The Case of Sergeant Grischa,1931,0,1
3423,The Cat Came Back,1989,0,1
3424,The Cat Concerto,1947,1,1
3425,The Cathedral,2003,0,1
3426,The Cell,2001,0,1
3427,The Chalk Garden,1965,0,1
3428,The Challenge...A Tribute to Modern Art,1975,0,1
3429,The Champ,1933,2,4
3430,The Champ,1980,0,1
3431,The Charge of the Light Brigade,1937,1,3
3432,The Chicken (Le Poulet),1966,1,1
3433,The Chicken from Outer Space,1996,0,1
3434,The Childeater,1990,0,1
3435,The Children of Leningradsky,2005,0,1
3436,The Children of Soong Ching Ling,1985,0,1
3437,The Children of Theatre Street,1978,0,1
3438,The Children's Hour,1962,0,5
3439,The Children's Storefront,1989,0,1
3440,The China Syndrome,1980,0,4
3441,The Chocolate Soldier,1942,0,3
3442,The Chorus (Les Choristes),2005,0,2
3443,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2006,1,3
3444,The ChubbChubbs!,2003,1,1
3445,The Cider House Rules,2000,2,7
3446,The Citadel,1939,0,4
3447,The Clan of the Cave Bear,1987,0,1
3448,The Class,2009,0,1
3449,The Client,1995,0,1
3450,"The Cliff Dwellers (formerly titled ""One Plus One"")",1963,0,1
3451,The Climax,1945,0,1
3452,The Collector,1966,0,3
3453,The Collector of Bedford Street,2003,0,1
3454,The Color Purple,1986,0,11
3455,The Color of Money,1987,1,4
3456,The Colours of My Father: A Portrait of Sam Borenstein,1993,0,1
3457,The Commitments,1992,0,1
3458,The Competition,1981,0,2
3459,The Concert,1964,0,1
3460,The Concert,1975,0,1
3461,The Confession,2011,0,1
3462,The Conformist,1972,0,1
3463,The Conquest of Everest,1954,0,1
3464,The Conscience of Nhem En,2009,0,1
3465,The Constant Gardener,2006,1,4
3466,The Constant Nymph,1944,0,1
3467,The Contender,2001,0,2
3468,The Conversation,1975,0,3
3469,The Cooler,2004,0,1
3470,The Cop,1930,0,1
3471,The Corn Is Green,1946,0,2
3472,The Corsican Brothers,1943,0,1
3473,The Cotton Club,1985,0,2
3474,The Counterfeiters,2008,1,1
3475,The Country Cousin,1937,1,1
3476,The Country Girl,1955,2,7
3477,The Courage to Care,1986,0,1
3478,The Court-Martial of Billy Mitchell,1956,0,1
3479,The Cove,2010,1,1
3480,The Cow,1990,0,1
3481,The Cowboy and the Lady,1939,1,3
3482,The Creation,1982,0,1
3483,The Creation of Woman,1961,0,1
3484,The Criminal Code,1932,0,1
3485,The Critic,1964,1,1
3486,The Croods,2014,0,1
3487,The Crowd,1929,0,2
3488,The Crucible,1997,0,2
3489,The Cruel Sea,1954,0,1
3490,The Crunch Bird,1972,1,1
3491,The Crusades,1936,0,1
3492,The Crush,2011,0,1
3493,The Cry of Reason - Beyers Naudé: An Afrikaner Speaks Out  ,1989,0,1
3494,The Crying Game,1993,1,6
3495,The Curious Case of Benjamin Button,2009,3,13
3496,The Dam Busters,1956,0,1
3497,The Dam Keeper,2015,0,1
3498,The Damned,1970,0,1
3499,The Danish Girl,2016,1,4
3500,The Danish Poet,2007,1,1
3501,The Dark Angel,1936,1,3
3502,The Dark Command,1941,0,2
3503,The Dark Knight,2009,2,8
3504,The Dark Mirror,1947,0,1
3505,The Dark Wave,1957,0,2
3506,The Dark at the Top of the Stairs,1961,0,1
3507,The Dawn Patrol,1932,1,1
3508,The Dawns Here Are Quiet,1973,0,1
3509,The Day after Trinity,1981,0,1
3510,The Day of the Dolphin,1974,0,2
3511,The Day of the Jackal,1974,0,1
3512,The Day of the Locust,1976,0,2
3513,The Dead,1988,0,2
3514,The Death of Kevin Carter: Casualty of the Bang Bang Club,2006,0,1
3515,The Decline of the American Empire,1987,0,1
3516,The Deep,1978,0,1
3517,The Deer Hunter,1979,5,9
3518,The Defiant Ones,1959,2,9
3519,The Deluge,1975,0,1
3520,The Departed,2007,4,5
3521,The Descendants,2012,1,5
3522,The Desert Rats,1954,0,1
3523,The Desert Song,1945,0,1
3524,The Devil Came at Night,1958,0,1
3525,The Devil Dancer,1929,0,1
3526,The Devil Pays Off,1942,0,1
3527,The Devil Wears Prada,2007,0,2
3528,The Devil and Miss Jones,1942,0,2
3529,The Devil's Holiday,1931,0,1
3530,The Diary of Anne Frank,1960,3,8
3531,The Dirty Dozen,1968,1,4
3532,The Disaster Artist,2018,0,1
3533,The Discreet Charm of the Bourgeoisie,1973,1,2
3534,The Divided Trail: A Native American Odyssey,1979,0,1
3535,The Divine Lady,1930,1,3
3536,The Diving Bell and the Butterfly,2008,0,4
3537,The Divorcee,1931,1,4
3538,The Dizzy Acrobat,1944,0,1
3539,The Dollar Bottom,1981,1,1
3540,The Dolly Sisters,1947,0,1
3541,The Doonesbury Special,1978,0,1
3542,The Door,2010,0,1
3543,The Doorway to Hell,1932,0,1
3544,The Dot and the Line,1966,1,1
3545,The Dove,1929,1,1
3546,The Dove,1969,0,1
3547,The Drag,1967,0,1
3548,The Dresser,1984,0,5
3549,The Duchess,2009,1,2
3550,The Dutch Master,1994,0,1
3551,The Earrings of Madame de...,1955,0,1
3552,The Eddy Duchin Story,1957,0,4
3553,The Egg and I,1948,0,1
3554,The Egyptian,1955,0,1
3555,The Eleanor Roosevelt Story,1966,1,1
3556,The Electric Horseman,1980,0,1
3557,The Elementary School,1992,0,1
3558,The Elephant Man,1981,0,8
3559,The Eleven O'Clock,2018,0,1
3560,The Emigrants,1972,0,1
3561,The Emigrants,1973,0,4
3562,The Emperor Waltz,1949,0,2
3563,The Emperor's New Groove,2001,0,1
3564,The Empire Strikes Back,1981,1,3
3565,The Empty Chair,2017,0,1
3566,The Enchanted Cottage,1946,0,1
3567,The End of the Affair,2000,0,2
3568,The End of the Game,1976,1,1
3569,The End of the Road,1977,0,1
3570,The Enemy Below,1958,1,1
3571,The English Patient,1997,9,12
3572,The Entertainer,1961,0,1
3573,The Eruption of Mount St. Helens,1981,0,1
3574,The Europeans,1980,0,1
3575,The Exorcist,1974,2,10
3576,The Fabulous Baker Boys,1990,0,4
3577,The Face of Genius,1967,0,1
3578,The Face of Jesus,1962,0,1
3579,The Face of Lincoln,1956,1,2
3580,The Facts of Life,1961,1,5
3581,The Fall of the Roman Empire,1965,0,1
3582,The Fallen Idol,1950,0,2
3583,The Fallen Sparrow,1944,0,1
3584,The Family,1988,0,1
3585,The Family That Dwelt Apart,1975,0,1
3586,The Fantastic Flying Books of Mr. Morris Lessmore,2012,1,1
3587,"The Farm: Angola, U.S.A.",1999,0,1
3588,The Farmer's Daughter,1948,1,2
3589,The Favourite,2019,1,10
3590,The Field,1991,0,1
3591,The Fifth Element,1998,0,1
3592,The Fight for Life,1941,0,1
3593,The Fight: Science against Cancer,1951,0,1
3594,The Fighter,2011,2,7
3595,The Fighting Lady,1945,1,1
3596,The Fighting Seabees,1945,0,1
3597,The Final Inch,2009,0,1
3598,The Finest Hours,1965,0,1
3599,The Firemen's Ball,1969,0,1
3600,The Firm,1994,0,2
3601,The First Piano Quartette,1955,0,1
3602,The First Wives Club,1997,0,1
3603,The Fisher King,1992,1,5
3604,The Five Cities of June,1964,0,1
3605,The Five Pennies,1960,0,4
3606,The Fixer,1969,0,1
3607,The Flame and the Arrow,1951,0,2
3608,The Flame of New Orleans,1942,0,1
3609,The Flight of the Eagle,1983,0,1
3610,The Flight of the Gossamer Condor,1979,1,1
3611,The Flight of the Phoenix,1966,0,2
3612,The Florida Project,2018,0,1
3613,The Fly,1981,1,1
3614,The Fly,1987,1,1
3615,The Fog of War,2004,1,1
3616,The Formula,1981,0,1
3617,The Forth Road Bridge,1966,0,1
3618,The Fortune Cookie,1967,1,4
3619,The Four Days of Naples,1963,0,1
3620,The Four Days of Naples,1964,0,1
3621,The Four Musketeers,1976,0,1
3622,The Four Poster,1954,0,1
3623,The Fox,1969,0,1
3624,The Foxes of Harrow,1948,0,1
3625,The French Connection,1972,5,8
3626,The French Lieutenant's Woman,1982,0,5
3627,"The Frog, the Dog and the Devil",1987,0,1
3628,The Frogmen,1952,0,2
3629,The Front,1977,0,1
3630,The Front Page,1932,0,3
3631,The Fugitive,1994,1,7
3632,The Full Monty,1998,1,4
3633,The Furies,1951,0,1
3634,The Further Adventures of Uncle Sam: Part Two,1971,0,1
3635,The Game (Igra),1964,0,1
3636,The Gang's All Here,1944,0,1
3637,The Garden,2009,0,1
3638,The Garden Spider (Epeira Diadema),1953,0,1
3639,The Garden of Allah,1937,0,2
3640,The Garden of Eden,1985,0,1
3641,The Garden of the Finzi Continis,1972,1,2
3642,The Gatekeepers,2013,0,1
3643,The Gay Deception,1936,0,1
3644,The Gay Divorcee,1935,1,5
3645,The Gay Parisian,1942,0,1
3646,The Gazebo,1960,0,1
3647,The General Died at Dawn,1937,0,3
3648,The Ghost and Mrs. Muir,1948,0,1
3649,The Ghost and the Darkness,1997,1,1
3650,The Gifts,1971,0,1
3651,The Girl Said No,1938,0,1
3652,The Girl with the Dragon Tattoo,2012,1,5
3653,The Girl with the Pistol,1969,0,1
3654,The Glass Cell,1979,0,1
3655,The Glenn Miller Story,1955,1,3
3656,The Go-Between,1972,0,1
3657,The Goddess,1959,0,1
3658,The Godfather,1973,3,10
3659,The Godfather Part II,1975,6,11
3660,"The Godfather, Part III",1991,0,7
3661,The Gold Rush,1943,0,2
3662,The Golden Compass,2008,1,2
3663,The Golden Fish,1960,1,1
3664,The Goldwyn Follies,1939,0,2
3665,The Good Earth,1938,2,5
3666,The Good German,2007,0,1
3667,The Good Shepherd,2007,0,1
3668,The Goodbye Girl,1978,1,5
3669,The Gorgeous Hussy,1937,0,2
3670,The Gospel According to St. Matthew,1967,0,3
3671,The Graduate,1968,1,7
3672,The Grain That Built a Hemisphere,1943,0,1
3673,The Grand Budapest Hotel,2015,4,9
3674,The Grandfather,1999,0,1
3675,The Grandmaster,2014,0,2
3676,The Grapes of Wrath,1941,2,7
3677,The Grass Is Always Greener,1950,0,1
3678,The Great American Cowboy,1974,1,1
3679,The Great Beauty,2014,1,1
3680,The Great Caruso,1952,1,3
3681,The Great Cognito,1983,0,1
3682,The Great Dictator,1941,0,5
3683,The Great Escape,1964,0,1
3684,The Great Gatsby,1975,2,2
3685,The Great Gatsby,2014,2,2
3686,The Great Heart,1939,0,1
3687,The Great Lie,1942,1,1
3688,The Great McGinty,1941,1,1
3689,The Great Muppet Caper,1982,0,1
3690,The Great Race,1966,1,5
3691,The Great Santini,1981,0,2
3692,The Great Victor Herbert,1940,0,2
3693,The Great Waltz,1939,1,3
3694,The Great War,1960,0,1
3695,The Great White Hope,1971,0,2
3696,The Great Ziegfeld,1937,3,7
3697,The Greatest Show on Earth,1953,2,5
3698,The Greatest Story Ever Told,1966,0,5
3699,The Green Goddess,1931,0,1
3700,The Green Mile,2000,0,4
3701,The Green Years,1947,0,2
3702,The Grifters,1991,0,4
3703,The Gruffalo,2011,0,1
3704,The Guardsman,1933,0,2
3705,The Gunfighter,1951,0,1
3706,The Guns of Navarone,1962,1,7
3707,The Hairy Ape,1945,0,1
3708,The Hanging Tree,1960,0,1
3709,The Happiest Millionaire,1968,0,1
3710,The Happy Ending,1970,0,2
3711,The Harder They Fall,1957,0,1
3712,The Harvey Girls,1947,1,2
3713,The Hasty Heart,1950,0,1
3714,The Hateful Eight,2016,1,3
3715,The Hawaiians,1971,0,1
3716,The Heart Is a Lonely Hunter,1969,0,2
3717,The Heartbreak Kid,1973,0,2
3718,The Heiress,1950,4,8
3719,The Hellstrom Chronicle,1972,1,1
3720,The Help,2012,1,4
3721,The Hidden World,1959,0,1
3722,The High and the Mighty,1955,1,6
3723,The Hill Farm,1990,0,1
3724,The Hindenburg,1976,0,3
3725,The Hoaxters,1953,0,1
3726,The Hobbit: An Unexpected Journey,2013,0,3
3727,The Hobbit: The Battle of the Five Armies,2015,0,1
3728,The Hobbit: The Desolation of Smaug,2014,0,3
3729,The Hole,1963,1,1
3730,The Horse Whisperer,1999,0,1
3731,The Horse with the Flying Tail,1961,1,1
3732,The Horse's Mouth,1959,0,1
3733,The Hospital,1972,1,2
3734,The Hot Rock,1973,0,1
3735,The Hours,2003,1,9
3736,The House That Ananda Built,1969,0,1
3737,The House That Jack Built,1969,0,1
